trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-155.62477407116384,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-203.73953231345567,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-95.54759305461556,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-124.4753481272218,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-152.53144403357433,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,7,-64.48731185636692,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-64.60865160872297,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,3.16517471445773,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-65.14137723792189,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-42.2536838053704,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,11,-7.475439690914503,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-40.07350797253854,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-27.68033181845502,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-30.170137082048296,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,25.93519963378554,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-1.7248050348454167,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-9.781311695349252,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,21.863019588338098,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,21.57855700613658,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,2,24.119270138732933,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-3.4399635555765204,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,13,-38.130324101541554,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,35.32202569981001,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,21.38473564231725,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,4.56915254044134,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,14,-13.341421154611844,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,3,-6.188477945259042,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-26.38434539586799,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,37.38673243467657,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,8,13.026208226774866,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
