trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-138.14290762717167,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-149.6204668284614,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-133.3904566921216,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-60.82158218397142,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-100.9327825363985,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-16.669267284439695,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-123.87515091472272,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-27.626928996441556,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-48.918618498656755,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-103.12044808735139,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-137.86014711994173,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,9,-31.633135247748022,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-132.64404979765848,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-105.25894263541605,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-100.94175237904858,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-147.49475507823482,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,14,-41.26818013910965,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-99.15887450415897,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-59.685718350914115,"{0: 22, 1: 6, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-103.34086046848887,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-65.71704533071613,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,4,-51.25234331595989,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-61.54403556310473,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-148.53402216911303,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-76.70247121779785,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-36.55690274075753,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-17.33679817610884,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",30,0,-98.91536334240448,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-148.66847053157858,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,9,-47.66203413570723,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,3,-132.1794219740252,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-62.767659918589324,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-131.26403800936154,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,0,-124.87478471181201,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,0,-140.05458445660454,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-116.75354284519433,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,6,9.238308209366377,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-33.36146951048983,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-16.10770353376396,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,5,-4.787790888852799,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",30,7,-72.24693913925898,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,11,-14.075562777283832,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-133.82459229460696,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,8,-62.335803568180985,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-109.66764632984791,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-57.786427892672414,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,11,-101.09890191173727,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-57.54841114059667,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,4,-60.072642872152755,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,0.014376843712204046,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,4,-95.91016224196929,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-28.795340795551887,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-33.40160369898724,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-66.71292478899997,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,8,-31.499979050552174,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-18.116822723492636,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-76.12270926687393,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-81.52003273638876,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,4.384277465751099,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,6,0.4983406008718585,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,-33.423486971555235,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,9,-9.204113106689276,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-52.69706437973106,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-94.78838598350765,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",25,7,10.230359461938125,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,0,-97.8905756882258,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",30,22,14.938622402365368,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-83.91670058687264,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",30,7,-19.654456312772915,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
