trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-151.88254305768515,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,6,-121.4548666595094,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-134.7551499830378,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-121.65490994867471,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",35,0,-246.32414926515997,"{0: 17, 1: 3, 2: 11, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-128.89027771382067,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,11,7.184226314232081,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-86.55277412090354,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-110.2263372618967,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-92.89142231899444,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,7,-56.900758897018996,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-115.65915693783221,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-159.35238845539385,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-5.986600937811621,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-58.46190932092859,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,13,-51.478298128434844,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,9,-41.757838421720756,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",30,11,-127.22255546840368,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-176.12550687206024,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-99.75809032737679,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-96.38807600621611,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-173.98737224055827,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-94.38739669978966,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,0,-194.38874195969169,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-118.67954680141172,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-138.8952723327693,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-76.9272890194006,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-133.9397786554852,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-154.33765782229437,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-187.77730689549068,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
